customer_key,customer_id,customer_number,firstname,lastname,marital_status,gender,country,birth_date
1,11000,AW00011000,Jon,Yang,Married,Male,Australia,06-10-1971
2,11001,AW00011001,Eugene,Huang,Single,Male,Australia,10-05-1976
3,11002,AW00011002,Ruben,Torres,Married,Male,Australia,09-02-1971
4,11003,AW00011003,Christy,Zhu,Single,Female,Australia,14-08-1973
5,11004,AW00011004,Elizabeth,Johnson,Single,Female,Australia,05-08-1979
6,11005,AW00011005,Julio,Ruiz,Single,Male,Australia,01-08-1976
7,11006,AW00011006,Janet,Alvarez,Single,Female,Australia,02-12-1976
8,11007,AW00011007,Marco,Mehta,Married,Male,Australia,06-11-1969
9,11008,AW00011008,Rob,Verhoff,Single,Female,Australia,04-07-1975
10,11009,AW00011009,Shannon,Carlson,Single,Male,Australia,29-09-1969
11,11010,AW00011010,Jacquelyn,Suarez,Single,Female,Australia,05-08-1969
12,11011,AW00011011,Curtis,Lu,Married,Male,Australia,03-05-1969
13,11012,AW00011012,Lauren,Walker,Married,Female,United States,14-01-1979
14,11013,AW00011013,Ian,Jenkins,Married,Male,United States,03-08-1979
15,11014,AW00011014,Sydney,Bennett,Single,Female,United States,06-11-1973
16,11015,AW00011015,Chloe,Young,Single,Female,United States,26-08-1984
17,11016,AW00011016,Wyatt,Hill,Married,Male,United States,25-10-1984
18,11017,AW00011017,Shannon,Wang,Single,Female,Australia,24-12-1949
19,11018,AW00011018,Clarence,Rai,Single,Male,Australia,06-10-1955
20,11019,AW00011019,Luke,Lal,Single,Male,Canada,04-09-1983
21,11020,AW00011020,Jordan,King,Single,Male,Canada,19-03-1984
22,11021,AW00011021,Destiny,Wilson,Single,Female,United States,02-03-1984
23,11022,AW00011022,Ethan,Zhang,Married,Male,United States,10-04-1984
24,11023,AW00011023,Seth,Edwards,Married,Male,United States,09-04-1984
25,11024,AW00011024,Russell,Xie,Married,Male,United States,16-03-1984
26,11025,AW00011025,Alejandro,Beck,Married,Male,Australia,22-06-1951
27,11026,AW00011026,Harold,Sai,Single,Male,Australia,01-10-1951
28,11027,AW00011027,Jessie,Zhao,Married,Male,Australia,05-06-1952
29,11028,AW00011028,Jill,Jimenez,Married,Female,Australia,09-10-1951
30,11029,AW00011029,Jimmy,Moreno,Married,Male,Australia,19-06-1952
31,11030,AW00011030,Bethany,Yuan,Married,Female,Australia,18-02-1958
32,11031,AW00011031,Theresa,Ramos,Married,Female,Australia,18-02-1953
33,11032,AW00011032,Denise,Stone,Married,Female,Australia,08-12-1952
34,11033,AW00011033,Jaime,Nath,Married,Male,Australia,19-09-1958
35,11034,AW00011034,Ebony,Gonzalez,Married,Female,Australia,16-12-1952
36,11035,AW00011035,Wendy,Dominguez,Married,Female,Australia,23-08-1953
37,11036,AW00011036,Jennifer,Russell,Married,Female,United States,16-06-1984
38,11037,AW00011037,Chloe,Garcia,Single,Female,Canada,27-05-1983
39,11038,AW00011038,Diana,Hernandez,Married,Female,Australia,20-09-1953
40,11039,AW00011039,Marc,Martin,Married,Male,Australia,16-06-1954
41,11040,AW00011040,Jesse,Murphy,Married,Male,United States,29-01-1983
42,11041,AW00011041,Amanda,Carter,Married,Female,United States,15-04-1983
43,11042,AW00011042,Megan,Sanchez,Married,Female,United States,11-12-1982
44,11043,AW00011043,Nathan,Simmons,Married,Male,United States,23-08-1981
45,11044,AW00011044,Adam,Flores,Married,Male,Australia,21-11-1954
46,11045,AW00011045,Leonard,Nara,Single,Male,Australia,16-11-1955
47,11046,AW00011046,Christine,Yuan,Married,Female,Australia,19-09-1955
48,11047,AW00011047,Jaclyn,Lu,Married,Female,Australia,27-08-1955
49,11048,AW00011048,Jeremy,Powell,Married,Male,Australia,21-05-1956
50,11049,AW00011049,Carol,Rai,Single,Female,United States,15-01-1986
51,11050,AW00011050,Alan,Zheng,Married,Male,Australia,06-03-1957
52,11051,AW00011051,Daniel,Johnson,Single,Male,Australia,31-01-1957
53,11052,AW00011052,Heidi,Lopez,Single,Female,Australia,03-02-1957
54,11053,AW00011053,Ana,Price,Married,Female,United States,17-02-1986
55,11054,AW00011054,Deanna,Munoz,Married,Female,Australia,07-09-1957
56,11055,AW00011055,Gilbert,Raje,Married,Male,Australia,02-09-1957
57,11056,AW00011056,Michele,Nath,Married,Female,Australia,01-10-1958
58,11057,AW00011057,Carl,Andersen,Married,Male,Australia,07-04-1970
59,11058,AW00011058,Marc,Diaz,Married,Male,Australia,23-04-1965
60,11059,AW00011059,Ashlee,Andersen,Single,Female,Australia,29-09-1959
61,11060,AW00011060,Jon,Zhou,Married,Male,Australia,14-09-1959
62,11061,AW00011061,Todd,Gao,Married,Male,Australia,20-02-1976
63,11062,AW00011062,Noah,Powell,Married,Male,United States,01-03-1981
64,11063,AW00011063,Angela,Murphy,Single,Female,United States,04-10-1980
65,11064,AW00011064,Chase,Reed,Married,Male,United States,05-06-1981
66,11065,AW00011065,Jessica,Henderson,Married,Female,United States,08-04-1979
67,11066,AW00011066,Grace,Butler,Married,Female,United States,27-05-1979
68,11067,AW00011067,Caleb,Carter,Single,Male,United States,25-03-1982
69,11068,AW00011068,Tiffany,Liang,Single,Female,Australia,19-09-1966
70,11069,AW00011069,Carolyn,Navarro,Single,Female,Australia,17-09-1966
71,11070,AW00011070,Willie,Raji,Married,Male,Australia,02-10-1960
72,11071,AW00011071,Linda,Serrano,Single,Female,Australia,23-12-1960
73,11072,AW00011072,Casey,Luo,Single,Female,Australia,05-08-1960
74,11073,AW00011073,Amy,Ye,Single,Female,Australia,11-02-1962
75,11074,AW00011074,Levi,Arun,Single,Male,Australia,25-02-1962
76,11075,AW00011075,Felicia,Jimenez,Single,Female,Australia,16-05-1963
77,11076,AW00011076,Blake,Anderson,Single,Male,Australia,10-01-1963
78,11077,AW00011077,Leah,Ye,Single,Female,Australia,19-03-1963
79,11078,AW00011078,Gina,Martin,Single,Female,Canada,06-01-1985
80,11079,AW00011079,Donald,Gonzalez,Single,Male,Australia,07-03-1970
81,11080,AW00011080,Damien,Chander,Married,Male,Australia,13-01-1965
82,11081,AW00011081,Savannah,Baker,Married,Female,United States,21-01-1972
83,11082,AW00011082,Angela,Butler,Single,Female,United States,01-02-1972
